name,url,id,cb_rank,about,industries,operating_status,social_media_links,founded_date,num_employees,country_code,website,location
Tracksuit,https://www.crunchbase.com/organization/tracksuit,tracksuit,17109,"Tracksuit is the beautiful, always-on and radically affordable way for companies to measure, understand and communicate the value of brand.","[{""id"":""brand-marketing"",""value"":""Brand Marketing""},{""id"":""market-research"",""value"":""Market Research""},{""id"":""saas-5c4e"",""value"":""SaaS""},{""id"":""software"",""value"":""Software""}]",active,"[""https://www.facebook.com/profile.php?id=100090152820810"",""https://www.linkedin.com/company/gotracksuit""]",2021-01-01,101-250,NZ,https://www.gotracksuit.com,"[{""name"":""Auckland"",""permalink"":""auckland-auckland""},{""name"":""Auckland"",""permalink"":""auckland-new-zealand-cecd""},{""name"":""New Zealand"",""permalink"":""new-zealand""},{""name"":""Oceania"",""permalink"":""oceania""}]"
Goodwillion,https://www.crunchbase.com/organization/goodwillion,goodwillion,703866,Goodwillion is a peer-to-peer fundraising platform that allows users to auction meetings and raise funds to make donations.,"[{""id"":""charity"",""value"":""Charity""},{""id"":""online-portals"",""value"":""Online Portals""},{""id"":""peer-to-peer"",""value"":""Peer to Peer""}]",active,"[""http://facebook.com/goodwillion"",""https://www.linkedin.com/company/goodwillion"",""http://twitter.com/goodwillion_us""]",2012-01-01,1-10,US,http://goodwillion.com/,"[{""name"":""San Francisco"",""permalink"":""san-francisco-california""},{""name"":""California"",""permalink"":""california-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Rock the Vote,https://www.crunchbase.com/organization/rock-the-vote,rock-the-vote,482779,Rock the Vote's mission is to engage and build political power for young people in our country.,"[{""id"":""internet"",""value"":""Internet""},{""id"":""non-profit"",""value"":""Non Profit""},{""id"":""politics"",""value"":""Politics""}]",active,"[""https://www.facebook.com/rockthevote"",""https://www.linkedin.com/company/22110"",""https://twitter.com/RockTheVote""]",1990-01-01,11-50,US,https://www.rockthevote.org,"[{""name"":""Washington"",""permalink"":""washington-district-of-columbia""},{""name"":""District of Columbia"",""permalink"":""district-of-columbia-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Lombard Odier,https://www.crunchbase.com/organization/lombard-odier,lombard-odier,50489,Lombard Odier is one of the largest private banks in Switzerland and Europe.,"[{""id"":""asset-management"",""value"":""Asset Management""},{""id"":""banking"",""value"":""Banking""},{""id"":""finance"",""value"":""Finance""},{""id"":""financial-services"",""value"":""Financial Services""},{""id"":""legal"",""value"":""Legal""},{""id"":""wealth-management"",""value"":""Wealth Management""}]",active,"[""https://www.facebook.com/LombardOdier/"",""https://www.linkedin.com/company/lombard-odier"",""https://twitter.com/lombardodier""]",1796-01-01,5001-10000,CH,http://www.lombardodier.com/en,"[{""name"":""Geneva"",""permalink"":""geneva-geneve""},{""name"":""Geneve"",""permalink"":""geneve-switzerland""},{""name"":""Switzerland"",""permalink"":""switzerland""},{""name"":""Europe"",""permalink"":""europe""}]"
Cutting Edge Capital,https://www.crunchbase.com/organization/cutting-edge-capital-2,cutting-edge-capital-2,108548,Cutting Edge Capital provides capital-raising consultancy/outsourcing for startups and small businesses.,"[{""id"":""finance"",""value"":""Finance""},{""id"":""financial-exchanges"",""value"":""Financial Exchanges""},{""id"":""financial-services"",""value"":""Financial Services""}]",active,"[""https://www.facebook.com/CuttingEdgeCapital"",""http://www.linkedin.com/company/cutting-edge-capital?trk=prof-following-company-logo"",""https://twitter.com/cuttingedgecap""]",2010-01-01,1-10,US,http://www.cuttingedgecapital.com/,"[{""name"":""Oakland"",""permalink"":""oakland-california""},{""name"":""California"",""permalink"":""california-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
"ImageRights International, Inc.",https://www.crunchbase.com/organization/imagerights-international-inc,imagerights-international-inc,594615,"ImageRights International, Inc. is a copyright enforcement service for visual artists Fighting image piracy.","[{""id"":""intellectual-property"",""value"":""Intellectual Property""},{""id"":""law-enforcement"",""value"":""Law Enforcement""}]",active,"[""https://www.facebook.com/imagerights"",""https://www.linkedin.com/company/imagerights"",""https://www.twitter.com/imagerights""]",2008-01-01,11-50,US,https://www.imagerights.com,"[{""name"":""Silver Spring"",""permalink"":""silver-spring-maryland""},{""name"":""Maryland"",""permalink"":""maryland-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Ratio,https://www.crunchbase.com/organization/ratio-3,ratio-3,534738,A multi-screen agency for a multi-screen world,"[{""id"":""internet"",""value"":""Internet""},{""id"":""software"",""value"":""Software""}]",closed,"[""https://www.facebook.com/ratiointeractive"",""https://www.linkedin.com/company/107259?trk=prof-exp-company-name"",""https://twitter.com/teamratio""]",2001-01-01,101-250,US,http://www.weareratio.com/,"[{""name"":""Seattle"",""permalink"":""seattle-washington""},{""name"":""Washington"",""permalink"":""washington-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Carnegie Mellon University,https://www.crunchbase.com/organization/carnegie-mellon-university,carnegie-mellon-university,2,"Carnegie Mellon University is a private research university that offers degrees in technology, arts, and various other fields.","[{""id"":""education"",""value"":""Education""},{""id"":""higher-education"",""value"":""Higher Education""},{""id"":""universities"",""value"":""Universities""}]",active,"[""https://www.facebook.com/carnegiemellonu"",""https://www.linkedin.com/school/carnegie-mellon-university"",""https://www.twitter.com/CarnegieMellon""]",1900-01-01,nan,US,https://www.cmu.edu,"[{""name"":""Pittsburgh"",""permalink"":""pittsburgh-pennsylvania""},{""name"":""Pennsylvania"",""permalink"":""pennsylvania-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Forbes Human Resources Council,https://www.crunchbase.com/organization/forbes-human-resources-council,forbes-human-resources-council,316151,Forbes Human Resources Council is an invitation-only community for senior-level human resources executives across all industries.,"[{""id"":""association"",""value"":""Association""},{""id"":""communities"",""value"":""Communities""},{""id"":""human-resources"",""value"":""Human Resources""},{""id"":""internet-of-things-ed3a"",""value"":""Internet of Things""}]",active,"[""https://www.facebook.com/Forbes-Human-Resources-Council-1704328459826299"",""https://www.linkedin.com/company-beta/18007999"",""https://twitter.com/forbeshrcouncil""]",2016-03-01,11-50,US,https://forbeshrcouncil.com,"[{""name"":""Boston"",""permalink"":""boston-massachusetts""},{""name"":""Massachusetts"",""permalink"":""massachusetts-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Loyal,https://www.crunchbase.com/organization/loyal-4a49,loyal-4a49,141,Loyal is a biotechnology company developing medicines to extend dogs lifespan and maintain their quality of life.,"[{""id"":""biotechnology"",""value"":""Biotechnology""},{""id"":""pet"",""value"":""Pet""},{""id"":""veterinary"",""value"":""Veterinary""}]",active,"[""https://www.facebook.com/LoyalForDogs"",""https://www.linkedin.com/company/loyalfordogs"",""https://twitter.com/loyalfordogs""]",2019-01-01,101-250,US,https://loyalfordogs.com,"[{""name"":""San Francisco"",""permalink"":""san-francisco-california""},{""name"":""California"",""permalink"":""california-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Maryland Bar Association,https://www.crunchbase.com/organization/maryland-bar-association,maryland-bar-association,276565,Maryland Bar Association is a company that provides legal support services.,"[{""id"":""association"",""value"":""Association""},{""id"":""consulting"",""value"":""Consulting""},{""id"":""legal"",""value"":""Legal""}]",active,"[""http://www.facebook.com/MSBA001"",""https://www.linkedin.com/company/the-maryland-state-bar-association-inc."",""https://www.twitter.com/marylandbar""]",1897-01-01,51-100,US,http://www.msba.org,"[{""name"":""Baltimore"",""permalink"":""baltimore-maryland""},{""name"":""Maryland"",""permalink"":""maryland-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
ConnectAssets,https://www.crunchbase.com/organization/connectassets,connectassets,1995740,ConnectAssets is to connect investors and investment managers to a wealth of financial,"[{""id"":""financial-services"",""value"":""Financial Services""},{""id"":""fintech-e067"",""value"":""FinTech""}]",active,"[""https://www.linkedin.com/company/connectassets/""]",2020-01-01,nan,CH,https://www.connectassets.com/,"[{""name"":""Zug"",""permalink"":""zug-zug""},{""name"":""Zug"",""permalink"":""zug-switzerland""},{""name"":""Switzerland"",""permalink"":""switzerland""},{""name"":""Europe"",""permalink"":""europe""}]"
B2B Pay,https://www.crunchbase.com/organization/b2b-pay,b2b-pay,105733,B2B Pay provides virtual bank accounts for exporters receiving payments.,"[{""id"":""b2b"",""value"":""B2B""},{""id"":""financial-services"",""value"":""Financial Services""},{""id"":""fintech-e067"",""value"":""FinTech""},{""id"":""payments"",""value"":""Payments""},{""id"":""transaction-processing"",""value"":""Transaction Processing""}]",active,"[""https://www.facebook.com/B2Bpay/"",""https://www.linkedin.com/company/10102175"",""https://www.twitter.com/b2bpay""]",2015-06-01,11-50,FI,https://www.b2bpay.co/,"[{""name"":""Helsinki"",""permalink"":""helsinki-southern-finland""},{""name"":""Southern Finland"",""permalink"":""southern-finland-finland""},{""name"":""Finland"",""permalink"":""finland""},{""name"":""Europe"",""permalink"":""europe""}]"
SXSW,https://www.crunchbase.com/organization/sxsw-interactive,sxsw-interactive,33372,"SXSW organizes conferences and festivals that celebrate the convergence of the interactive, film, and music industries.","[{""id"":""digital-entertainment"",""value"":""Digital Entertainment""},{""id"":""event-management"",""value"":""Event Management""},{""id"":""film-c333"",""value"":""Film""},{""id"":""music"",""value"":""Music""}]",active,"[""http://www.facebook.com/SXSWFestival"",""http://www.linkedin.com/company/28042"",""http://twitter.com/sxsw""]",1987-01-01,501-1000,US,http://sxsw.com,"[{""name"":""Austin"",""permalink"":""austin-texas""},{""name"":""Texas"",""permalink"":""texas-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Mercer University,https://www.crunchbase.com/organization/mercer-university-macon,mercer-university-macon,791,"Mercer University is a private, coeducational university with its main campus in Macon, Georgia, United States","[{""id"":""edtech"",""value"":""EdTech""},{""id"":""education"",""value"":""Education""},{""id"":""higher-education"",""value"":""Higher Education""},{""id"":""universities"",""value"":""Universities""}]",active,"[""http://www.facebook.com/107638515361"",""http://www.linkedin.com/edu/mercer-university-18173"",""http://twitter.com/MercerYou""]",1833-01-01,nan,US,http://www.mercer.edu/,"[{""name"":""Macon"",""permalink"":""macon-georgia""},{""name"":""Georgia"",""permalink"":""georgia-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Tribal,https://www.crunchbase.com/organization/tribalcredit,tribalcredit,11001,Tribal is a fintech company that facilitates financial management for emerging-market SMEs.,"[{""id"":""credit-cards"",""value"":""Credit Cards""},{""id"":""finance"",""value"":""Finance""},{""id"":""financial-services"",""value"":""Financial Services""},{""id"":""fintech-e067"",""value"":""FinTech""}]",active,"[""https://www.facebook.com/tribalhq"",""https://www.linkedin.com/company/tribal-credit"",""https://twitter.com/TribalCredit""]",2016-01-01,101-250,US,https://www.tribal.credit,"[{""name"":""San Francisco"",""permalink"":""san-francisco-california""},{""name"":""California"",""permalink"":""california-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Liberty City Ventures,https://www.crunchbase.com/organization/liberty-city-ventures,liberty-city-ventures,6070,"Liberty City Ventures invest in startups that are innovating at the cross-sections of technology, media and commerce.","[{""id"":""accounting"",""value"":""Accounting""},{""id"":""bitcoin-1c16"",""value"":""Bitcoin""},{""id"":""finance"",""value"":""Finance""},{""id"":""financial-services"",""value"":""Financial Services""}]",active,"[""https://www.linkedin.com/company/liberty-city-ventures"",""http://twitter.com/LCVentures""]",2012-07-01,11-50,US,http://libertycityventures.com,"[{""name"":""New York"",""permalink"":""new-york-new-york""},{""name"":""New York"",""permalink"":""new-york-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Print Immortal,https://www.crunchbase.com/organization/print-immortal,print-immortal,1499883,Print Immortal publishes established and emerging classic works of art.,nan,active,"[""https://www.linkedin.com/company/print-immortal""]",nan,nan,US,https://printimmortal.com/,"[{""name"":""White Salmon"",""permalink"":""white-salmon-washington""},{""name"":""Washington"",""permalink"":""washington-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
The Claremont Colleges,https://www.crunchbase.com/organization/the-claremont-colleges,the-claremont-colleges,4599,The Claremont Colleges Services is the central coordinating and support organization.,"[{""id"":""college-recruiting"",""value"":""College Recruiting""},{""id"":""education"",""value"":""Education""},{""id"":""universities"",""value"":""Universities""}]",active,"[""https://www.facebook.com/theclaremontcollegesofficial"",""https://www.linkedin.com/school/the-claremont-colleges-services""]",1925-01-01,nan,US,https://services.claremont.edu,"[{""name"":""Claremont"",""permalink"":""claremont-california""},{""name"":""California"",""permalink"":""california-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Banque Privee BCP (Suisse) SA,https://www.crunchbase.com/organization/banque-privee-bcp-suisse-sa,banque-privee-bcp-suisse-sa,2146818,Banque Privee BCP (Suisse) SA is a private Swiss bank used in personal and industrial financing.,"[{""id"":""banking"",""value"":""Banking""},{""id"":""financial-services"",""value"":""Financial Services""}]",closed,"[""https://www.linkedin.com/company/millennium-banque-priv&""]",2002-01-01,51-100,CH,https://www.millenniumbp.ch,"[{""name"":""Genève"",""permalink"":""genève-geneve""},{""name"":""Geneve"",""permalink"":""geneve-switzerland""},{""name"":""Switzerland"",""permalink"":""switzerland""},{""name"":""Europe"",""permalink"":""europe""}]"
Jigsaw,https://www.crunchbase.com/organization/jigsaw,jigsaw,186864,Jigsaw provides business information and data services that leverage user-generated content of the B2B community.,"[{""id"":""b2b"",""value"":""B2B""},{""id"":""business-information-systems"",""value"":""Business Information Systems""},{""id"":""customer-service"",""value"":""Customer Service""},{""id"":""software"",""value"":""Software""}]",closed,"[""http://twitter.com/jigsaw""]",2003-10-31,11-50,US,http://www.jigsaw.com,"[{""name"":""San Mateo"",""permalink"":""san-mateo-california""},{""name"":""California"",""permalink"":""california-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
AJR Consulting,https://www.crunchbase.com/organization/ajr-consulting,ajr-consulting,2273487,A strategic advisory firm focused on enterprise-grade healthcare revenue for consumer-quality healthcare experiences.,"[{""id"":""consulting"",""value"":""Consulting""},{""id"":""health-care"",""value"":""Health Care""},{""id"":""personal-health"",""value"":""Personal Health""},{""id"":""product-management"",""value"":""Product Management""}]",active,nan,2010-01-01,1-10,US,nan,"[{""name"":""San Francisco"",""permalink"":""san-francisco-california""},{""name"":""California"",""permalink"":""california-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
American Express Global Corporate Travel Advisors,https://www.crunchbase.com/organization/american-express-global-business-travel,american-express-global-business-travel,129392,American Express Global Corporate Travel Advisors provides end-to-end corporate travel and meetings program management.,"[{""id"":""customer-service"",""value"":""Customer Service""},{""id"":""leisure"",""value"":""Leisure""},{""id"":""travel"",""value"":""Travel""}]",active,nan,2014-05-20,10001+,US,https://www.amexglobal.co.uk,"[{""name"":""New York"",""permalink"":""new-york-new-york""},{""name"":""New York"",""permalink"":""new-york-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Mapbox,https://www.crunchbase.com/organization/mapbox,mapbox,1006,Mapbox develops a location data platform for mobile and web applications.,"[{""id"":""business-intelligence"",""value"":""Business Intelligence""},{""id"":""fleet-management"",""value"":""Fleet Management""},{""id"":""logistics"",""value"":""Logistics""},{""id"":""mapping-services"",""value"":""Mapping Services""},{""id"":""saas-5c4e"",""value"":""SaaS""}]",active,"[""http://www.facebook.com/Mapbox"",""http://www.linkedin.com/company/mapbox"",""http://twitter.com/Mapbox""]",2010-01-01,501-1000,US,http://www.mapbox.com,"[{""name"":""Washington"",""permalink"":""washington-district-of-columbia""},{""name"":""District of Columbia"",""permalink"":""district-of-columbia-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Cullen Investment Group,https://www.crunchbase.com/organization/cullen-investment-group,cullen-investment-group,864198,"Cullen Investment Group provides investment advisory, brokerage, consulting, insurance, financial and retirement planning services.","[{""id"":""advice"",""value"":""Advice""},{""id"":""consulting"",""value"":""Consulting""},{""id"":""financial-services"",""value"":""Financial Services""},{""id"":""insurance"",""value"":""Insurance""},{""id"":""retirement"",""value"":""Retirement""}]",active,nan,1986-01-01,1-10,US,https://www.cullenonline.com/,"[{""name"":""Lafayette"",""permalink"":""lafayette-louisiana""},{""name"":""Louisiana"",""permalink"":""louisiana-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
Xenter,https://www.crunchbase.com/organization/xenter,xenter,42875,Xenter develops wireless medical device technologies and digital health tools that enables patients to manage their health information.,"[{""id"":""health-care"",""value"":""Health Care""},{""id"":""medical-device"",""value"":""Medical Device""},{""id"":""wireless"",""value"":""Wireless""}]",active,"[""https://www.linkedin.com/company/xenter-inc/""]",2020-01-01,51-100,US,https://xentermd.com/,"[{""name"":""Draper"",""permalink"":""draper-utah""},{""name"":""Utah"",""permalink"":""utah-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
FinTech Alliance,https://www.crunchbase.com/organization/fintech-alliance,fintech-alliance,716208,"FinTech Alliance publishes information, news, and company details on Fintech as well as a community hub, events, and networking options.","[{""id"":""communities"",""value"":""Communities""},{""id"":""fintech-e067"",""value"":""FinTech""},{""id"":""information-services-f579"",""value"":""Information Services""},{""id"":""news"",""value"":""News""},{""id"":""professional-networking"",""value"":""Professional Networking""},{""id"":""publishing"",""value"":""Publishing""}]",active,"[""https://www.linkedin.com/company/fintechalliance/"",""https://twitter.com/alliancefintech""]",2019-01-01,1-10,GB,https://fintech-alliance.com/,"[{""name"":""London"",""permalink"":""london-england""},{""name"":""England"",""permalink"":""england-united-kingdom""},{""name"":""United Kingdom"",""permalink"":""united-kingdom""},{""name"":""Europe"",""permalink"":""europe""}]"
Telegraph Hill Capital,https://www.crunchbase.com/organization/telegraph-hill-capital,telegraph-hill-capital,19033,Telegraph Hill Capital is an early-stage venture capital firm focused on start-up companies primarily in North America.,"[{""id"":""apps"",""value"":""Apps""},{""id"":""enterprise-software"",""value"":""Enterprise Software""},{""id"":""mobile"",""value"":""Mobile""}]",active,"[""https://www.linkedin.com/company/telegraph-hill-capital"",""https://twitter.com/Thcap2""]",2007-04-27,11-50,US,http://www.thcap.com,"[{""name"":""San Francisco"",""permalink"":""san-francisco-california""},{""name"":""California"",""permalink"":""california-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
The All-Party Parliamentary Design and Innovation Group,https://www.crunchbase.com/organization/associate-parliamentary-design-and-innovation-group,associate-parliamentary-design-and-innovation-group,3078214,The All-Party Parliamentary Design and Innovation Group (APDIG) is an official All-Party Parliamentary Group.,"[{""id"":""association"",""value"":""Association""}]",active,"[""https://www.linkedin.com/company/policy-connect/about/"",""https://www.twitter.com/policy_connect""]",2001-01-01,11-50,GB,http://www.policyconnect.org.uk/apdig/home,"[{""name"":""Southwark"",""permalink"":""southwark-southwark""},{""name"":""Southwark"",""permalink"":""southwark-united-kingdom""},{""name"":""United Kingdom"",""permalink"":""united-kingdom""},{""name"":""Europe"",""permalink"":""europe""}]"
AIG,https://www.crunchbase.com/organization/american-international-group,american-international-group,26796,"American International Group provides property insurance, life insurance, and financial services.","[{""id"":""commercial-insurance"",""value"":""Commercial Insurance""},{""id"":""financial-services"",""value"":""Financial Services""},{""id"":""health-insurance"",""value"":""Health Insurance""},{""id"":""insurance"",""value"":""Insurance""},{""id"":""lending"",""value"":""Lending""},{""id"":""life-insurance"",""value"":""Life Insurance""},{""id"":""property-insurance"",""value"":""Property Insurance""},{""id"":""real-estate-investment"",""value"":""Real Estate Investment""},{""id"":""retirement"",""value"":""Retirement""},{""id"":""risk-management"",""value"":""Risk Management""}]",active,"[""https://www.facebook.com/AIGInsurance"",""https://www.linkedin.com/company/aig"",""http://twitter.com/AIGinsurance""]",1919-12-19,10001+,US,https://www.aig.com,"[{""name"":""New York"",""permalink"":""new-york-new-york""},{""name"":""New York"",""permalink"":""new-york-united-states""},{""name"":""United States"",""permalink"":""united-states""},{""name"":""North America"",""permalink"":""north-america""}]"
